ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  15:08:28
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  15:11:32
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  15:17:09
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  15:23:56
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-08  -  15:24:06
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  15:28:04
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-08  -  15:28:06
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🖥️calc'], Дата и время сообщения - 2022-11-08  -  15:28:20
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🖥️calc'], Дата и время сообщения - 2022-11-08  -  15:31:43
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🖥️calc'], Дата и время сообщения - 2022-11-08  -  15:32:39
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-08  -  15:37:16
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🖥️calc'], Дата и время сообщения - 2022-11-08  -  15:37:18
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  15:37:23
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  16:01:44
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['📱calc'], Дата и время сообщения - 2022-11-08  -  16:01:46
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  16:18:05
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['📱calc'], Дата и время сообщения - 2022-11-08  -  16:18:07
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  16:21:36
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  16:23:12
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  16:23:38
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  16:23:40
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  17:32:33
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  17:32:57
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  17:45:59
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-08  -  18:04:45
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-08  -  18:04:46
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  18:04:49
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  18:14:10
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  18:15:03
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  18:32:29
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  18:35:53
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  18:38:28
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  18:43:13
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-08  -  18:47:59
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-08  -  18:48:01
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-08  -  19:09:38
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  19:09:51
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  19:19:00
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  19:19:38
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-08  -  19:19:40
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  19:19:42
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  19:33:41
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-08  -  19:34:12
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-08  -  19:42:57
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  19:42:59
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-08  -  19:48:30
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-08  -  20:02:58
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  20:03:00
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-08  -  20:17:11
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['📱calc'], Дата и время сообщения - 2022-11-08  -  20:17:13
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  20:17:19
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  20:26:35
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-08  -  20:28:30
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-09  -  00:14:44
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['🎮play'], Дата и время сообщения - 2022-11-09  -  00:23:07
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-09  -  00:44:55
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  00:45:02
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-09  -  13:49:59
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  13:50:04
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-09  -  13:57:41
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  14:02:21
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  14:07:03
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-09  -  14:13:08
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  14:16:17
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-09  -  14:40:25
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  15:15:34
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  15:17:13
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  15:31:35
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  16:12:15
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-09  -  16:41:09
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  16:41:10
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  16:51:21
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  16:58:14
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-09  -  17:07:11
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  18:20:34
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-09  -  18:38:34
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  18:38:48
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-09  -  18:39:14
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-10  -  12:51:46
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-10  -  12:52:48
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-10  -  12:54:01
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-10  -  12:54:02
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-10  -  13:00:05
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-10  -  13:19:35
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-10  -  13:19:37
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-10  -  14:03:38
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['/go'], Дата и время сообщения - 2022-11-10  -  15:59:35
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-10  -  16:08:17
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-10  -  16:09:06
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['⏰time'], Дата и время сообщения - 2022-11-10  -  16:10:48
ID - 1971184819, Имя пользователя - Exception, Текст сообщения -['❓help'], Дата и время сообщения - 2022-11-10  -  16:30:31
